Theta [deg],dB(GainTheta) [] - Freq='12.5GHz' Phi='0deg',dB10normalize(GainTheta) [] - Freq='12.5GHz' Phi='0deg'
8,5.478541283,-0.1370891
9,5.444914203,-0.170716181
10,5.40764615,-0.207984234
11,5.3667508,-0.248879583
12,5.322242907,-0.293387477
13,5.274138288,-0.341492095
14,5.22245382,-0.393176564
15,5.167207423,-0.448422961
16,5.108418057,-0.507212327
17,5.046105709,-0.569524675
18,4.980291382,-0.635339002
19,4.910997088,-0.704633296
20,4.838245834,-0.77738455
21,4.762061614,-0.85356877
22,4.682469397,-0.933160987
23,4.599495115,-1.016135269
24,4.513165651,-1.102464733
25,4.423508825,-1.192121559
26,4.330553383,-1.285077001
27,4.234328977,-1.381301407
28,4.134866154,-1.48076423
29,4.032196336,-1.583434048
30,3.926351802,-1.689278582
31,3.817365669,-1.798264715
32,3.705271868,-1.910358516
33,3.590105124,-2.02552526
34,3.471900928,-2.143729456
35,3.350695513,-2.264934871
36,3.226525822,-2.389104562
37,3.099429482,-2.516200901
38,2.969444767,-2.646185616
39,2.836610566,-2.779019818
40,2.700966346,-2.914664038
41,2.562552113,-3.053078271
42,2.421408375,-3.194222009
43,2.277576095,-3.338054289
44,2.131096652,-3.484533732
45,1.982011795,-3.633618589
46,1.830363597,-3.785266787
47,1.676194406,-3.939435978
48,1.519546799,-4.096083584
49,1.360463535,-4.255166848
50,1.198987503,-4.416642881
51,1.035161673,-4.580468711
52,0.869029052,-4.746601332
53,0.700632631,-4.914997753
54,0.530015342,-5.085615042
55,0.357220009,-5.258410375
56,0.182289307,-5.433341077
57,0.005265719,-5.610364665
58,-0.173808504,-5.789438888
59,-0.354891383,-5.970521767
60,-0.537941239,-6.153571623
61,-0.722916732,-6.338547116
62,-0.909776884,-6.525407268
63,-1.098481108,-6.714111492
64,-1.288989227,-6.90461961
65,-1.481261495,-7.096891879
66,-1.675258613,-7.290888997
67,-1.870941741,-7.486572125
68,-2.068272507,-7.683902891
69,-2.267213019,-7.882843403
70,-2.467725867,-8.083356251
71,-2.669774134,-8.285404518
72,-2.873321397,-8.48895178
73,-3.078331734,-8.693962118
74,-3.284769738,-8.900400122
75,-3.492600521,-9.108230905
76,-3.701789737,-9.31742012
77,-3.912303598,-9.527933982
78,-4.124108911,-9.739739294
79,-4.337173113,-9.952803497
80,-4.551464325,-10.16709471
81,-4.766951417,-10.3825818
82,-4.983604083,-10.59923447
83,-5.201392947,-10.81702333
84,-5.420289673,-11.03592006
85,-5.640267104,-11.25589749
86,-5.861299423,-11.47692981
87,-6.083362337,-11.69899272
88,-6.306433282,-11.92206367
89,-6.530491654,-12.14612204
90,-6.755519065,-12.37114945
91,-6.981499619,-12.59713
92,-7.208420203,-12.82405059
93,-7.436270795,-13.05190118
94,-7.665044777,-13.28067516
95,-7.894739249,-13.51036963
96,-8.125355328,-13.74098571
97,-8.356898417,-13.9725288
98,-8.589378439,-14.20500882
99,-8.822809998,-14.43844038
100,-9.057212452,-14.67284284
101,-9.292609865,-14.90824025
102,-9.529030802,-15.14466119
103,-9.76650792,-15.3821383
104,-10.00507731,-15.6207077
105,-10.24477754,-15.86040792
106,-10.48564828,-16.10127866
107,-10.72772852,-16.34335891
108,-10.97105422,-16.5866846
109,-11.21565524,-16.83128562
110,-11.4615516,-17.07718198
111,-11.70874872,-17.3243791
112,-11.95723164,-17.57286202
113,-12.20695795,-17.82258834
114,-12.4578493,-18.07347969
115,-12.70978123,-18.32541162
116,-12.96257117,-18.57820156
117,-13.21596435,-18.83159474
118,-13.46961749,-19.08524788
119,-13.72308018,-19.33871056
120,-13.97577388,-19.59140427
121,-14.22696893,-19.84259932
122,-14.47575979,-20.09139017
123,-14.72103964,-20.33667002
124,-14.96147569,-20.57710607
125,-15.19548724,-20.81111763
126,-15.42122966,-21.03686004
127,-15.63658783,-21.25221821
128,-15.83918402,-21.45481441
129,-16.02640506,-21.64203545
130,-16.19545378,-21.81108417
131,-16.34342856,-21.95905894
132,-16.4674319,-22.08306228
133,-16.56470527,-22.18033566
134,-16.63278208,-22.24841246
135,-16.66964533,-22.28527571
136,-16.67387257,-22.28950295
137,-16.64474909,-22.26037948
138,-16.58233311,-22.1979635
139,-16.4874628,-22.10309319
140,-16.36170405,-21.97733443
141,-16.20724697,-21.82287735
142,-16.02676632,-21.6423967
143,-15.82326449,-21.43889487
144,-15.59991518,-21.21554557
145,-15.35992246,-20.97555284
146,-15.10640446,-20.72203484
147,-14.842306,-20.45793638
148,-14.5703397,-20.18597008
149,-14.29295253,-19.90858291
150,-14.01231299,-19.62794337
151,-13.73031375,-19.34594414
152,-13.44858513,-19.06421551
153,-13.16851512,-18.7841455
154,-12.89127302,-18.50690341
155,-12.61783427,-18.23346465
156,-12.34900483,-17.96463521
157,-12.08544428,-17.70107466
158,-11.82768687,-17.44331726
159,-11.57616046,-17.19179085
160,-11.3312031,-16.94683348
161,-11.09307751,-16.70870789
162,-10.86198354,-16.47761393
163,-10.63806877,-16.25369915
164,-10.42143751,-16.03706789
165,-10.21215841,-15.82778879
166,-10.01027083,-15.62590121
167,-9.815790156,-15.43142054
168,-9.62871228,-15.24434266
169,-9.44901724,-15.06464762
170,-9.276672288,-14.89230267
171,-9.1116344,-14.72726478
172,-8.953852323,-14.56948271
173,-8.803268257,-14.41889864
174,-8.659819207,-14.27544959
175,-8.523438073,-14.13906846
176,-8.394054512,-14.0096849
177,-8.271595611,-13.887226
178,-8.155986406,-13.77161679
179,-8.047150258,-13.66278064
180,-7.945009128,-13.56063951
