Freq [GHz],"dB(S(4,1)) []","dB(S(5,1)) []","dB(S(8,1)) []","dB(S(9,1)) []","dB(S(36,1)) []","dB(S(37,1)) []","dB(S(40,1)) []","dB(S(41,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(6,1)) []","dB(S(7,1)) []","dB(S(34,1)) []","dB(S(35,1)) []","dB(S(38,1)) []","dB(S(39,1)) []","dB(S(12,1)) []","dB(S(13,1)) []","dB(S(16,1)) []","dB(S(17,1)) []","dB(S(44,1)) []","dB(S(45,1)) []","dB(S(48,1)) []","dB(S(49,1)) []","dB(S(10,1)) []","dB(S(11,1)) []","dB(S(14,1)) []","dB(S(15,1)) []","dB(S(42,1)) []","dB(S(43,1)) []","dB(S(46,1)) []","dB(S(47,1)) []","dB(S(20,1)) []","dB(S(21,1)) []","dB(S(24,1)) []","dB(S(25,1)) []","dB(S(52,1)) []","dB(S(53,1)) []","dB(S(56,1)) []","dB(S(57,1)) []","dB(S(18,1)) []","dB(S(19,1)) []","dB(S(22,1)) []","dB(S(23,1)) []","dB(S(50,1)) []","dB(S(51,1)) []","dB(S(54,1)) []","dB(S(55,1)) []","dB(S(28,1)) []","dB(S(29,1)) []","dB(S(32,1)) []","dB(S(33,1)) []","dB(S(60,1)) []","dB(S(61,1)) []","dB(S(64,1)) []","dB(S(65,1)) []","dB(S(26,1)) []","dB(S(27,1)) []","dB(S(30,1)) []","dB(S(31,1)) []","dB(S(58,1)) []","dB(S(59,1)) []","dB(S(62,1)) []","dB(S(63,1)) []"
12.5,-18.22365901,-18.96631005,-18.4682703,-19.21899371,-18.29251387,-18.28074919,-17.96876846,-18.61482459,-18.3580335,-18.40174214,-18.73328831,-19.58979383,-18.55090783,-18.53453662,-19.00357509,-18.30011308,-19.31060867,-18.66736559,-19.10937944,-19.22585358,-19.49968978,-18.69832044,-19.02213782,-18.24845899,-18.19800466,-18.18323501,-18.01493394,-18.81428212,-19.11790256,-18.29925193,-18.76614394,-17.98813987,-18.93195085,-18.99565571,-18.9031562,-18.18956969,-18.49358316,-19.16940515,-18.946908,-18.11006277,-18.32003501,-18.37670776,-18.49509475,-19.19559312,-18.64876446,-18.63034107,-19.20325852,-18.43002848,-18.86744636,-18.14222376,-19.22194416,-19.23208023,-18.75477207,-19.49150653,-18.34667065,-19.12728325,-18.65623448,-18.54335377,-17.93371491,-17.92141164,-18.33655422,-18.31971515,-18.04838414,-18.83385232
dB,0.302247371,1.044898415,0.546858663,1.297582074,0.371102225,0.359337555,0.047356821,0.69341295,0.436621855,0.480330498,0.811876668,1.668382194,0.629496195,0.613124976,1.082163449,0.378701436,1.389197032,0.745953955,1.187967804,1.304441936,1.578278138,0.776908798,1.100726179,0.327047346,0.276593022,0.26182337,0.093522296,0.892870484,1.196490922,0.37784029,0.8447323,0.06672823,1.010539212,1.074244068,0.981744565,0.268158054,0.572171518,1.247993506,1.025496365,0.188651127,0.398623372,0.455296116,0.57368311,1.274181477,0.727352816,0.708929431,1.281846884,0.508616844,0.946034722,0.220812117,1.300532517,1.310668589,0.833360425,1.57009489,0.425259007,1.205871611,0.734822838,0.621942134,0.01230327,0,0.41514258,0.398303513,0.126972501,0.912440682
linear,0.932771489,0.78615858,0.881686383,0.741723079,0.918099556,0.920589982,0.989154926,0.852429959,0.904352648,0.895296631,0.829492251,0.681023002,0.865068266,0.868335392,0.779441733,0.916494486,0.72624022,0.842179381,0.76068214,0.740552422,0.695299931,0.836197992,0.776117332,0.927460165,0.938297799,0.94149423,0.978695903,0.81416598,0.75919075,0.916676232,0.82324058,0.984752693,0.792402941,0.780864345,0.797674196,0.940121954,0.876562421,0.75024075,0.78967859,0.957491412,0.912299975,0.900472364,0.876257381,0.745730408,0.845794231,0.84938983,0.744415336,0.889484359,0.804260108,0.95042705,0.74121935,0.739491423,0.825399036,0.696611293,0.906721887,0.75755268,0.844340684,0.866574263,0.997171076,1,0.908836461,0.912367168,0.971186753,0.810505436
