"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
13.5,0,-180,-9.88953679090412
13.5,0,-179,-10.0320106867995
13.5,0,-178,-10.1814399857859
13.5,0,-177,-10.337778599238
13.5,0,-176,-10.5009492558366
13.5,0,-175,-10.6708380011682
13.5,0,-174,-10.8472877718113
13.5,0,-173,-11.0300909346047
13.5,0,-172,-11.2189806859631
13.5,0,-171,-11.413621220255
13.5,0,-170,-11.6135966051497
13.5,0,-169,-11.8183983517072
13.5,0,-168,-12.0274117456314
13.5,0,-167,-12.2399011227921
13.5,0,-166,-12.4549944370349
13.5,0,-165,-12.6716676912048
13.5,0,-164,-12.888730090185
13.5,0,-163,-13.1048111277252
13.5,0,-162,-13.3183512244052
13.5,0,-161,-13.5275979595066
13.5,0,-160,-13.7306103236593
13.5,0,-159,-13.9252736657952
13.5,0,-158,-14.109327986226
13.5,0,-157,-14.2804117844057
13.5,0,-156,-14.4361226617153
13.5,0,-155,-14.5740942263455
13.5,0,-154,-14.69208660105
13.5,0,-153,-14.7880852411086
13.5,0,-152,-14.8604002888267
13.5,0,-151,-14.9077569354508
13.5,0,-150,-14.9293668434096
13.5,0,-149,-14.9249719941372
13.5,0,-148,-14.89485534611
13.5,0,-147,-14.8398169018031
13.5,0,-146,-14.7611183041835
13.5,0,-145,-14.6604029261742
13.5,0,-144,-14.539600812184
13.5,0,-143,-14.4008284526879
13.5,0,-142,-14.2462923755903
13.5,0,-141,-14.0782034258191
13.5,0,-140,-13.8987060133539
13.5,0,-139,-13.7098241069076
13.5,0,-138,-13.5134237150012
13.5,0,-137,-13.3111901938163
13.5,0,-136,-13.1046179447085
13.5,0,-135,-12.8950098014977
13.5,0,-134,-12.6834835062569
13.5,0,-133,-12.4709829850968
13.5,0,-132,-12.258292544218
13.5,0,-131,-12.0460525291256
13.5,0,-130,-11.8347753770836
13.5,0,-129,-11.6248613206911
13.5,0,-128,-11.4166132620746
13.5,0,-127,-11.2102505359811
13.5,0,-126,-11.0059214244799
13.5,0,-125,-10.8037143861928
13.5,0,-124,-10.6036680289352
13.5,0,-123,-10.4057798951164
13.5,0,-122,-10.2100141514302
13.5,0,-121,-10.0163082839318
13.5,0,-120,-9.82457890082125
13.5,0,-119,-9.63472674127289
13.5,0,-118,-9.44664098169315
13.5,0,-117,-9.26020292239103
13.5,0,-116,-9.0752891288199
13.5,0,-115,-8.89177409295161
13.5,0,-114,-8.7095324723482
13.5,0,-113,-8.52844095730675
13.5,0,-112,-8.34837981014309
13.5,0,-111,-8.16923411524399
13.5,0,-110,-7.99089477390269
13.5,0,-109,-7.81325927407211
13.5,0,-108,-7.63623226192823
13.5,0,-107,-7.45972593943127
13.5,0,-106,-7.28366030980495
13.5,0,-105,-7.10796329093494
13.5,0,-104,-6.93257071503476
13.5,0,-103,-6.75742623147312
13.5,0,-102,-6.58248112834214
13.5,0,-101,-6.40769408712838
13.5,0,-100,-6.23303088369129
13.5,0,-99,-6.05846404763575
13.5,0,-98,-5.88397249106903
13.5,0,-97,-5.70954111665231
13.5,0,-96,-5.53516041378991
13.5,0,-95,-5.36082605074835
13.5,0,-94,-5.18653846947049
13.5,0,-93,-5.01230248885096
13.5,0,-92,-4.83812692128194
13.5,0,-91,-4.66402420636761
