"Freq [GHz]","Phi [deg]","Theta [deg]","dB10normalize(GainTotal) []"
12.5,90,-180,-24.4171758281729
12.5,90,-178,-26.3618066884785
12.5,90,-176,-32.557872373782
12.5,90,-174,-36.645381965579
12.5,90,-172,-27.7957082285057
12.5,90,-170,-24.7571681805915
12.5,90,-168,-24.5881425991899
12.5,90,-166,-27.130745243113
12.5,90,-164,-34.2011111084147
12.5,90,-162,-32.894238233923
12.5,90,-160,-26.2726839744295
12.5,90,-158,-23.7007637440294
12.5,90,-156,-23.4384718716484
12.5,90,-154,-25.2542284795437
12.5,90,-152,-29.7323563108467
12.5,90,-150,-32.906579339567
12.5,90,-148,-27.1368382202156
12.5,90,-146,-23.5179269083527
12.5,90,-144,-21.8598585054486
12.5,90,-142,-21.4944116210684
12.5,90,-140,-22.0869776983964
12.5,90,-138,-23.3466472280436
12.5,90,-136,-24.7631560559434
12.5,90,-134,-25.5354391600095
12.5,90,-132,-25.3010118359544
12.5,90,-130,-24.4978376443474
12.5,90,-128,-23.4648374456026
12.5,90,-126,-22.1767136614422
12.5,90,-124,-20.6008679000732
12.5,90,-122,-18.87964918005
12.5,90,-120,-17.2097928608261
12.5,90,-118,-15.7171822272247
12.5,90,-116,-14.4471368477798
12.5,90,-114,-13.3972087694945
12.5,90,-112,-12.5435148872565
12.5,90,-110,-11.8547423531617
12.5,90,-108,-11.2986230726897
12.5,90,-106,-10.8447947186867
12.5,90,-104,-10.4660718442838
12.5,90,-102,-10.1390182332998
12.5,90,-100,-9.84417054173268
12.5,90,-98,-9.56603681721814
12.5,90,-96,-9.292920350312
12.5,90,-94,-9.0166136473969
12.5,90,-92,-8.73202077944284
12.5,90,-90,-8.43677323601762
12.5,90,-88,-8.13089631020056
12.5,90,-86,-7.81656356778511
12.5,90,-84,-7.49795477545955
12.5,90,-82,-7.18121557509691
12.5,90,-80,-6.87450939242562
12.5,90,-78,-6.58815442122569
12.5,90,-76,-6.33485031525977
12.5,90,-74,-6.13002015569502
12.5,90,-72,-5.99232543419012
12.5,90,-70,-5.94446235526126
12.5,90,-68,-6.0144342682865
12.5,90,-66,-6.23765818106604
12.5,90,-64,-6.66060027417117
12.5,90,-62,-7.34739494006257
12.5,90,-60,-8.39278261826511
12.5,90,-58,-9.94988223682692
12.5,90,-56,-12.297186986213
12.5,90,-54,-16.0141241937767
12.5,90,-52,-21.8996751745634
12.5,90,-50,-20.925606468003
12.5,90,-48,-15.1543772610533
12.5,90,-46,-11.6428174790471
12.5,90,-44,-9.54771701103783
12.5,90,-42,-8.42919233838425
12.5,90,-40,-8.14003386557103
12.5,90,-38,-8.69625205185083
12.5,90,-36,-10.2727928836169
12.5,90,-34,-13.2924257684958
12.5,90,-32,-18.0576139088031
12.5,90,-30,-17.6591017398159
12.5,90,-28,-12.7034949344945
12.5,90,-26,-9.61779741340774
12.5,90,-24,-8.088998081424
12.5,90,-22,-7.82687185614415
12.5,90,-20,-8.9047969379938
12.5,90,-18,-11.9576224372221
12.5,90,-16,-19.8117180854714
12.5,90,-14,-17.8375773490623
12.5,90,-12,-9.40825095491057
12.5,90,-10,-5.15253831969963
12.5,90,-8,-2.5827733274917
12.5,90,-6,-1.02051353031524
12.5,90,-4,-0.199584001914791
12.5,90,-2,0
12.5,90,0,-0.370814351770041
12.5,90,2,-1.30261784932875
12.5,90,4,-2.81848780582308
12.5,90,6,-4.97501465232314
12.5,90,8,-7.87027889640567
12.5,90,10,-11.638157411599
12.5,90,12,-16.2070396411869
12.5,90,14,-19.5847812419607
12.5,90,16,-18.8386598640503
12.5,90,18,-17.0991780057556
12.5,90,20,-16.0356330867582
12.5,90,22,-15.7325537866782
12.5,90,24,-16.2274276059679
12.5,90,26,-17.7239746027148
12.5,90,28,-20.7457033435679
12.5,90,30,-26.6525464987977
12.5,90,32,-29.0122764096953
12.5,90,34,-21.795542925193
12.5,90,36,-17.8609026338942
12.5,90,38,-15.7331913706783
12.5,90,40,-14.7317541630207
12.5,90,42,-14.6101424102498
12.5,90,44,-15.3150912521695
12.5,90,46,-16.9374570612462
12.5,90,48,-19.7053693099626
12.5,90,50,-23.3277446568507
12.5,90,52,-22.9426975077184
12.5,90,54,-18.7121995439561
12.5,90,56,-15.2981426240905
12.5,90,58,-12.8696553274567
12.5,90,60,-11.1175435737944
12.5,90,62,-9.83864459388787
12.5,90,64,-8.90726984951931
12.5,90,66,-8.24092722665563
12.5,90,68,-7.78186718823562
12.5,90,70,-7.48739322419453
12.5,90,72,-7.32455990863076
12.5,90,74,-7.26713183709101
12.5,90,76,-7.29376278360248
12.5,90,78,-7.38686285778127
12.5,90,80,-7.53186892434578
12.5,90,82,-7.71676097863919
12.5,90,84,-7.93173709088781
12.5,90,86,-8.16900059280977
12.5,90,88,-8.42263884735381
12.5,90,90,-8.68858935322102
12.5,90,92,-8.9646982926501
12.5,90,94,-9.25087887732319
12.5,90,96,-9.54937094854771
12.5,90,98,-9.86508868166749
12.5,90,100,-10.2060212637622
12.5,90,102,-10.5836255526335
12.5,90,104,-11.0131229266585
12.5,90,106,-11.5135798617734
12.5,90,108,-12.1075876879185
12.5,90,110,-12.8201962413536
12.5,90,112,-13.676366445014
12.5,90,114,-14.6953720679724
12.5,90,116,-15.8791757080536
12.5,90,118,-17.1910657263604
12.5,90,120,-18.5281000320087
12.5,90,122,-19.7231043263353
12.5,90,124,-20.6470077886599
12.5,90,126,-21.3735603959237
12.5,90,128,-22.192786758593
12.5,90,130,-23.4611255930856
12.5,90,132,-25.4437113293539
12.5,90,134,-27.7740819577472
12.5,90,136,-27.9896915864148
12.5,90,138,-25.5745397763325
12.5,90,140,-23.3869450795174
12.5,90,142,-22.3302820085291
12.5,90,144,-22.5380306886553
12.5,90,146,-24.236921046108
12.5,90,148,-27.9991409404896
12.5,90,150,-32.6088713174546
12.5,90,152,-28.7306269897051
12.5,90,154,-25.0350243062662
12.5,90,156,-23.7281791257607
12.5,90,158,-24.4823011035379
12.5,90,160,-27.7020064780562
12.5,90,162,-33.9759726839791
12.5,90,164,-30.4486270205272
12.5,90,166,-25.7708631829297
12.5,90,168,-24.1689256520964
12.5,90,170,-24.8807115879223
12.5,90,172,-27.9560179523627
12.5,90,174,-31.4542567586003
12.5,90,176,-28.0672572367727
12.5,90,178,-25.0189510940966
12.5,90,180,-24.4171758281729
