"Freq [GHz]","Phi [deg]","Theta [deg]","dB10normalize(GainTotal) []"
12.5,-180,-35,-22.5916225609343
12.5,-180,-34,-24.8286115524973
12.5,-180,-33,-28.5690522550629
12.5,-180,-32,-36.8740340903988
12.5,-180,-31,-39.1493749510426
12.5,-180,-30,-28.3655697448903
12.5,-180,-29,-23.56662169735
12.5,-180,-28,-20.4830490320065
12.5,-180,-27,-18.276002179339
12.5,-180,-26,-16.6353735517833
12.5,-180,-25,-15.4174649474108
12.5,-180,-24,-14.5503499781215
12.5,-180,-23,-14.0011314349437
12.5,-180,-22,-13.7639886199227
12.5,-180,-21,-13.8582721011309
12.5,-180,-20,-14.3351707081725
12.5,-180,-19,-15.298428970325
12.5,-180,-18,-16.9608957519438
12.5,-180,-17,-19.8291096208137
12.5,-180,-16,-25.6446795332237
12.5,-180,-15,-43.0759516771459
12.5,-180,-14,-22.5033798008095
12.5,-180,-13,-16.446065206624
12.5,-180,-12,-12.6737720208791
12.5,-180,-11,-9.92481669818995
12.5,-180,-10,-7.78053077608227
12.5,-180,-9,-6.04946518418684
12.5,-180,-8,-4.62804619999902
12.5,-180,-7,-3.45410726295925
12.5,-180,-6,-2.48768620055362
12.5,-180,-5,-1.7019022319844
12.5,-180,-4,-1.07817742991945
12.5,-180,-3,-0.603553271582082
12.5,-180,-2,-0.269111720449945
12.5,-180,-1,-0.0690259960229579
12.5,-180,0,0
12.5,-180,1,-0.0609716882712073
12.5,-180,2,-0.253020183755606
12.5,-180,3,-0.579458647643783
12.5,-180,4,-1.04613089114478
12.5,-180,5,-1.66197193237347
12.5,-180,6,-2.43995720865119
12.5,-180,7,-3.39868147558023
12.5,-180,8,-4.56504223515894
12.5,-180,9,-5.97901825142842
12.5,-180,10,-7.70279252218661
12.5,-180,11,-9.83995502610044
12.5,-180,12,-12.5819708795524
12.5,-180,13,-16.3475243494578
12.5,-180,14,-22.3983145102837
12.5,-180,15,-42.9645924533542
12.5,-180,16,-25.5272717440642
12.5,-180,17,-19.7059131117545
12.5,-180,18,-16.8321844134721
12.5,-180,19,-15.164490261435
12.5,-180,20,-14.1963051345324
12.5,-180,21,-13.7147926468963
12.5,-180,22,-13.6162201325243
12.5,-180,23,-13.8494099625637
12.5,-180,24,-14.3950220599803
12.5,-180,25,-15.2588868574021
12.5,-180,26,-16.4739104964215
12.5,-180,27,-18.1120274513946
12.5,-180,28,-20.3169431216098
12.5,-180,29,-23.3987713627203
12.5,-180,30,-28.1963670451913
12.5,-180,31,-38.9792162441677
12.5,-180,32,-36.7033189987415
12.5,-180,33,-28.3981826025182
12.5,-180,34,-24.6579902760664
12.5,-180,35,-22.4216526003556
12.5,-180,36,-20.9777440663493
12.5,-180,37,-20.0455868453942
12.5,-180,38,-19.4869564432676
12.5,-180,39,-19.2254521429967
12.5,-180,40,-19.2166884234476
12.5,-180,41,-19.4354571366744
12.5,-180,42,-19.8698920050425
12.5,-180,43,-20.5191831829475
12.5,-180,44,-21.3937017220166
12.5,-180,45,-22.517600738934
12.5,-180,46,-23.9352277788038
12.5,-180,47,-25.7252727258978
12.5,-180,48,-28.0341305124683
12.5,-180,49,-31.1686323524143
12.5,-180,50,-35.9446823182094
12.5,-180,51,-46.3802742461193
12.5,-180,52,-44.9732260546506
12.5,-180,53,-36.3472002219378
12.5,-180,54,-32.4440883505268
12.5,-180,55,-30.0349138438229
12.5,-180,56,-28.384870113922
12.5,-180,57,-27.2037000353935
12.5,-180,58,-26.3460343473419
12.5,-180,59,-25.7281846046184
12.5,-180,60,-25.2972502229871
12.5,-180,61,-25.0174385666328
12.5,-180,62,-24.8632297158235
12.5,-180,63,-24.8156434453739
12.5,-180,64,-24.8600548882829
12.5,-180,65,-24.9848431459709
12.5,-180,66,-25.1805151559054
12.5,-180,67,-25.4391139502734
12.5,-180,68,-25.7538037824841
12.5,-180,69,-26.1185687172037
12.5,-180,70,-26.5279858177998
12.5,-180,71,-26.9770483269085
12.5,-180,72,-27.4610228823815
12.5,-180,73,-27.9753302970966
12.5,-180,74,-28.5154431120477
12.5,-180,75,-29.0767957900177
12.5,-180,76,-29.65470552155
12.5,-180,77,-30.2443034519451
12.5,-180,78,-30.8404778703903
12.5,-180,79,-31.4378325898639
12.5,-180,80,-32.0306653424279
12.5,-180,81,-32.6129723502965
12.5,-180,82,-33.1784860057167
12.5,-180,83,-33.720752376756
12.5,-180,84,-34.2332535661115
12.5,-180,85,-34.7095763775785
12.5,-180,86,-35.1436231722411
12.5,-180,87,-35.5298536428868
12.5,-180,88,-35.863538628024
12.5,-180,89,-36.1410008104354
12.5,-180,90,-36.359814250754
12.5,-180,91,-36.5189368142562
12.5,-180,92,-36.6187570847023
12.5,-180,93,-36.6610491172936
12.5,-180,94,-36.6488417360586
12.5,-180,95,-36.5862208366149
12.5,-180,96,-36.478090685687
12.5,-180,97,-36.3299223087056
12.5,-180,98,-36.1475141520983
12.5,-180,99,-35.9367839178224
12.5,-180,100,-35.7036028458456
12.5,-180,101,-35.4536765502755
12.5,-180,102,-35.1924709246509
12.5,-180,103,-34.9251780413763
12.5,-180,104,-34.6567152626889
12.5,-180,105,-34.3917505484735
12.5,-180,106,-34.1347477053535
12.5,-180,107,-33.890026647399
12.5,-180,108,-33.6618353296049
12.5,-180,109,-33.4544317031134
12.5,-180,110,-33.2721757797341
12.5,-180,111,-33.1196337424647
12.5,-180,112,-33.0016981607764
12.5,-180,113,-32.9237310495988
12.5,-180,114,-32.8917402174952
12.5,-180,115,-32.9126048631141
12.5,-180,116,-32.994375052929
12.5,-180,117,-33.1466840007515
12.5,-180,118,-33.3813366300332
12.5,-180,119,-33.7131820366756
12.5,-180,120,-34.1614608256123
12.5,-180,121,-34.7519851239339
12.5,-180,122,-35.5208671236597
12.5,-180,123,-36.5213497900732
12.5,-180,124,-37.8374823066469
12.5,-180,125,-39.6150087083903
12.5,-180,126,-42.1445708305853
12.5,-180,127,-46.1613660879445
12.5,-180,128,-54.8947645274437
12.5,-180,129,-56.4032674815285
12.5,-180,130,-46.0636021223073
12.5,-180,131,-41.3783345000693
12.5,-180,132,-38.3298470347364
12.5,-180,133,-36.1026025165408
12.5,-180,134,-34.3901258488402
12.5,-180,135,-33.0463664224818
12.5,-180,136,-31.9929661084031
12.5,-180,137,-31.1858960205591
12.5,-180,138,-30.6013082927892
12.5,-180,139,-30.2291235901521
12.5,-180,140,-30.0704299755455
12.5,-180,141,-30.1373586132782
12.5,-180,142,-30.4553694872209
12.5,-180,143,-31.0690872737535
12.5,-180,144,-32.0551396061523
12.5,-180,145,-33.5519661531701
12.5,-180,146,-35.840448714787
12.5,-180,147,-39.6322061361356
12.5,-180,148,-47.9885111243613
12.5,-180,149,-50.315354297106
12.5,-180,150,-39.5833933510227
12.5,-180,151,-34.8367849895186
12.5,-180,152,-31.8061922261207
12.5,-180,153,-29.6529022093838
12.5,-180,154,-28.0669366047747
12.5,-180,155,-26.904719593617
12.5,-180,156,-26.0944408833563
12.5,-180,157,-25.6033136405702
12.5,-180,158,-25.4256223754278
12.5,-180,159,-25.5808182336741
12.5,-180,160,-26.120186513335
12.5,-180,161,-27.1475646083233
12.5,-180,162,-28.8758911338015
12.5,-180,163,-31.8117917693657
12.5,-180,164,-37.6969604043301
12.5,-180,165,-55.1998264270923
12.5,-180,166,-34.7009254865296
12.5,-180,167,-28.7194399061338
12.5,-180,168,-25.0252143619885
12.5,-180,169,-22.3566457843535
12.5,-180,170,-20.2951464989086
12.5,-180,171,-18.6493489127722
12.5,-180,172,-17.315761837765
12.5,-180,173,-16.2323026630457
12.5,-180,174,-15.3590949309744
12.5,-180,175,-14.669345681638
12.5,-180,176,-14.1445672460807
12.5,-180,177,-13.7718941185821
12.5,-180,178,-13.5425043477746
12.5,-180,179,-13.4506706018698
12.5,-180,180,-13.4931998732693
12.5,0,-180,-13.4931998732693
12.5,0,-179,-13.4506706018698
12.5,0,-178,-13.5425043477746
12.5,0,-177,-13.7718941185821
12.5,0,-176,-14.1445672460807
12.5,0,-175,-14.669345681638
12.5,0,-174,-15.3590949309744
12.5,0,-173,-16.2323026630457
12.5,0,-172,-17.315761837765
12.5,0,-171,-18.6493489127722
12.5,0,-170,-20.2951464989086
12.5,0,-169,-22.3566457843535
12.5,0,-168,-25.0252143619885
12.5,0,-167,-28.7194399061338
12.5,0,-166,-34.7009254865296
12.5,0,-165,-55.199826427092
12.5,0,-164,-37.6969604043301
12.5,0,-163,-31.8117917693657
12.5,0,-162,-28.8758911338015
12.5,0,-161,-27.1475646083233
12.5,0,-160,-26.120186513335
12.5,0,-159,-25.5808182336741
12.5,0,-158,-25.4256223754278
12.5,0,-157,-25.6033136405702
12.5,0,-156,-26.0944408833563
12.5,0,-155,-26.904719593617
12.5,0,-154,-28.0669366047747
12.5,0,-153,-29.6529022093838
12.5,0,-152,-31.8061922261207
12.5,0,-151,-34.8367849895186
12.5,0,-150,-39.5833933510227
12.5,0,-149,-50.315354297106
12.5,0,-148,-47.9885111243613
12.5,0,-147,-39.6322061361356
12.5,0,-146,-35.840448714787
12.5,0,-145,-33.5519661531701
12.5,0,-144,-32.0551396061523
12.5,0,-143,-31.0690872737535
12.5,0,-142,-30.4553694872209
12.5,0,-141,-30.1373586132782
12.5,0,-140,-30.0704299755455
12.5,0,-139,-30.2291235901521
12.5,0,-138,-30.6013082927892
12.5,0,-137,-31.1858960205591
12.5,0,-136,-31.9929661084031
12.5,0,-135,-33.0463664224818
12.5,0,-134,-34.3901258488403
12.5,0,-133,-36.1026025165408
12.5,0,-132,-38.3298470347364
12.5,0,-131,-41.3783345000693
12.5,0,-130,-46.0636021223073
12.5,0,-129,-56.4032674815285
12.5,0,-128,-54.8947645274436
12.5,0,-127,-46.1613660879445
12.5,0,-126,-42.1445708305853
12.5,0,-125,-39.6150087083903
12.5,0,-124,-37.8374823066469
12.5,0,-123,-36.5213497900732
12.5,0,-122,-35.5208671236597
12.5,0,-121,-34.7519851239339
12.5,0,-120,-34.1614608256123
12.5,0,-119,-33.7131820366756
12.5,0,-118,-33.3813366300332
12.5,0,-117,-33.1466840007515
12.5,0,-116,-32.994375052929
12.5,0,-115,-32.9126048631141
12.5,0,-114,-32.8917402174952
12.5,0,-113,-32.9237310495988
12.5,0,-112,-33.0016981607764
12.5,0,-111,-33.1196337424647
12.5,0,-110,-33.2721757797341
12.5,0,-109,-33.4544317031134
12.5,0,-108,-33.6618353296049
12.5,0,-107,-33.890026647399
12.5,0,-106,-34.1347477053535
12.5,0,-105,-34.3917505484735
12.5,0,-104,-34.6567152626889
12.5,0,-103,-34.9251780413763
12.5,0,-102,-35.1924709246509
12.5,0,-101,-35.4536765502755
12.5,0,-100,-35.7036028458456
12.5,0,-99,-35.9367839178224
12.5,0,-98,-36.1475141520983
12.5,0,-97,-36.3299223087056
12.5,0,-96,-36.478090685687
12.5,0,-95,-36.5862208366149
12.5,0,-94,-36.6488417360586
12.5,0,-93,-36.6610491172936
12.5,0,-92,-36.6187570847023
12.5,0,-91,-36.5189368142562
12.5,0,-90,-36.359814250754
12.5,0,-89,-36.1410008104354
12.5,0,-88,-35.863538628024
12.5,0,-87,-35.5298536428868
12.5,0,-86,-35.1436231722411
12.5,0,-85,-34.7095763775785
12.5,0,-84,-34.2332535661115
12.5,0,-83,-33.720752376756
12.5,0,-82,-33.1784860057167
12.5,0,-81,-32.6129723502965
12.5,0,-80,-32.0306653424279
12.5,0,-79,-31.4378325898639
12.5,0,-78,-30.8404778703903
12.5,0,-77,-30.2443034519451
12.5,0,-76,-29.65470552155
12.5,0,-75,-29.0767957900177
12.5,0,-74,-28.5154431120476
12.5,0,-73,-27.9753302970966
12.5,0,-72,-27.4610228823815
12.5,0,-71,-26.9770483269085
12.5,0,-70,-26.5279858177998
12.5,0,-69,-26.1185687172037
12.5,0,-68,-25.7538037824841
12.5,0,-67,-25.4391139502734
12.5,0,-66,-25.1805151559054
12.5,0,-65,-24.9848431459709
12.5,0,-64,-24.8600548882829
12.5,0,-63,-24.8156434453739
12.5,0,-62,-24.8632297158235
12.5,0,-61,-25.0174385666328
12.5,0,-60,-25.2972502229871
12.5,0,-59,-25.7281846046184
12.5,0,-58,-26.3460343473419
12.5,0,-57,-27.2037000353935
12.5,0,-56,-28.384870113922
12.5,0,-55,-30.0349138438229
12.5,0,-54,-32.4440883505268
12.5,0,-53,-36.3472002219379
12.5,0,-52,-44.9732260546506
12.5,0,-51,-46.3802742461193
12.5,0,-50,-35.9446823182094
12.5,0,-49,-31.1686323524143
12.5,0,-48,-28.0341305124683
12.5,0,-47,-25.7252727258978
12.5,0,-46,-23.9352277788038
12.5,0,-45,-22.517600738934
12.5,0,-44,-21.3937017220167
12.5,0,-43,-20.5191831829476
12.5,0,-42,-19.8698920050425
12.5,0,-41,-19.4354571366744
12.5,0,-40,-19.2166884234476
12.5,0,-39,-19.2254521429967
12.5,0,-38,-19.4869564432676
12.5,0,-37,-20.0455868453942
12.5,0,-36,-20.9777440663493
12.5,0,-35,-22.4216526003557
12.5,0,-34,-24.6579902760664
12.5,0,-33,-28.3981826025182
12.5,0,-32,-36.7033189987415
12.5,0,-31,-38.9792162441677
12.5,0,-30,-28.1963670451913
12.5,0,-29,-23.3987713627203
12.5,0,-28,-20.3169431216098
12.5,0,-27,-18.1120274513946
12.5,0,-26,-16.4739104964215
12.5,0,-25,-15.2588868574021
12.5,0,-24,-14.3950220599803
12.5,0,-23,-13.8494099625637
12.5,0,-22,-13.6162201325243
12.5,0,-21,-13.7147926468963
12.5,0,-20,-14.1963051345324
12.5,0,-19,-15.164490261435
12.5,0,-18,-16.8321844134721
12.5,0,-17,-19.7059131117545
12.5,0,-16,-25.5272717440642
12.5,0,-15,-42.9645924533544
12.5,0,-14,-22.3983145102837
12.5,0,-13,-16.3475243494578
12.5,0,-12,-12.5819708795524
12.5,0,-11,-9.83995502610044
12.5,0,-10,-7.7027925221866
12.5,0,-9,-5.97901825142842
12.5,0,-8,-4.56504223515895
12.5,0,-7,-3.39868147558022
12.5,0,-6,-2.43995720865119
12.5,0,-5,-1.66197193237347
12.5,0,-4,-1.04613089114478
12.5,0,-3,-0.579458647643783
12.5,0,-2,-0.253020183755609
12.5,0,-1,-0.0609716882712073
12.5,0,0,0
12.5,0,1,-0.0690259960229584
12.5,0,2,-0.269111720449946
12.5,0,3,-0.603553271582082
12.5,0,4,-1.07817742991945
12.5,0,5,-1.7019022319844
12.5,0,6,-2.48768620055362
12.5,0,7,-3.45410726295924
12.5,0,8,-4.62804619999903
12.5,0,9,-6.04946518418685
12.5,0,10,-7.78053077608227
12.5,0,11,-9.92481669818995
12.5,0,12,-12.6737720208791
12.5,0,13,-16.446065206624
12.5,0,14,-22.5033798008095
12.5,0,15,-43.0759516771462
12.5,0,16,-25.6446795332237
12.5,0,17,-19.8291096208137
12.5,0,18,-16.9608957519438
12.5,0,19,-15.298428970325
12.5,0,20,-14.3351707081725
12.5,0,21,-13.8582721011309
12.5,0,22,-13.7639886199227
12.5,0,23,-14.0011314349437
12.5,0,24,-14.5503499781215
12.5,0,25,-15.4174649474108
12.5,0,26,-16.6353735517833
12.5,0,27,-18.276002179339
12.5,0,28,-20.4830490320065
12.5,0,29,-23.56662169735
12.5,0,30,-28.3655697448903
12.5,0,31,-39.1493749510426
12.5,0,32,-36.8740340903988
12.5,0,33,-28.5690522550629
12.5,0,34,-24.8286115524973
12.5,0,35,-22.5916225609343
12.5,0,36,-21.1466608975468
12.5,0,37,-20.213051004132
12.5,0,38,-19.6525718133702
12.5,0,39,-19.3888272010617
12.5,0,40,-19.3774374117259
12.5,0,41,-19.5932012410231
12.5,0,42,-20.0242605365844
12.5,0,43,-20.6698147627231
12.5,0,44,-21.5402454686567
12.5,0,45,-22.6597174602044
12.5,0,46,-24.0725911687724
12.5,0,47,-25.8575705704455
12.5,0,48,-28.1610659069015
12.5,0,49,-31.2899249360296
12.5,0,50,-36.0600695318089
12.5,0,51,-46.4895126196666
12.5,0,52,-45.0760925334879
12.5,0,53,-36.4434935412529
12.5,0,54,-32.5336304690491
12.5,0,55,-30.1175514490521
12.5,0,56,-28.4604762125286
12.5,0,57,-27.2721756437931
12.5,0,58,-26.4073102988216
12.5,0,59,-25.7822234907858
12.5,0,60,-25.344048488724
12.5,0,61,-25.0570287791593
12.5,0,62,-24.895683029922
12.5,0,63,-24.8410722882792
12.5,0,64,-24.878615889217
12.5,0,65,-24.9967403367802
12.5,0,66,-25.1860034707456
12.5,0,67,-25.4385030537615
12.5,0,68,-25.7474622571919
12.5,0,69,-26.1069286427741
12.5,0,70,-26.5115477752973
12.5,0,71,-26.9563868632273
12.5,0,72,-27.4367924705768
12.5,0,73,-27.9482718293069
12.5,0,74,-28.4863909621604
12.5,0,75,-29.0466854832936
12.5,0,76,-29.6245820479396
12.5,0,77,-30.2153302586718
12.5,0,78,-30.8139465673616
12.5,0,79,-31.4151733984282
12.5,0,80,-32.0134583137047
12.5,0,81,-32.6029593735466
12.5,0,82,-33.1775836197382
12.5,0,83,-33.7310653878422
12.5,0,84,-34.2570894644281
12.5,0,85,-34.749460529676
12.5,0,86,-35.2023147505919
12.5,0,87,-35.6103622336732
12.5,0,88,-35.969141435803
12.5,0,89,-36.2752603527908
12.5,0,90,-36.5265964077592
12.5,0,91,-36.7224290668223
12.5,0,92,-36.863486743194
12.5,0,93,-36.9519013078835
