"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
12.5,-180,-180,3.92384582672019
12.5,-180,-179,3.78427306545069
12.5,-180,-178,3.60711403420406
12.5,-180,-177,3.39211594776989
12.5,-180,-176,3.13892022030004
12.5,-180,-175,2.84705776381403
12.5,-180,-174,2.51594192019647
12.5,-180,-173,2.14485870075528
12.5,-180,-172,1.73295385964549
12.5,-180,-171,1.27921613606999
12.5,-180,-170,0.782455744328681
12.5,-180,-169,0.241276840130392
12.5,-180,-168,-0.345957799312604
12.5,-180,-167,-0.981172344393032
12.5,-180,-166,-1.66663721270885
12.5,-180,-165,-2.40504708891261
12.5,-180,-164,-3.19962493420268
12.5,-180,-163,-4.05426277550121
12.5,-180,-162,-4.97371563409031
12.5,-180,-161,-5.96387400687057
12.5,-180,-160,-7.03215549092422
12.5,-180,-159,-8.18808250867744
12.5,-180,-158,-9.44416083739943
12.5,-180,-157,-10.817264452361
12.5,-180,-156,-12.3309153229899
12.5,-180,-155,-14.0192434680921
12.5,-180,-154,-15.9343516903396
12.5,-180,-153,-18.1613017767181
12.5,-180,-152,-20.8526496140181
12.5,-180,-151,-24.3241991871433
12.5,-180,-150,-29.418067523836
12.5,-180,-149,-40.4050845467266
12.5,-180,-148,-38.241056439784
12.5,-180,-147,-29.9540654242758
12.5,-180,-146,-26.1359002530212
12.5,-180,-145,-23.7223345737901
12.5,-180,-144,-21.9982481861042
12.5,-180,-143,-20.6788307258159
12.5,-180,-142,-19.6213069780886
12.5,-180,-141,-18.7441809084227
12.5,-180,-140,-17.9970990062936
12.5,-180,-139,-17.3474117210072
12.5,-180,-138,-16.7733594342555
12.5,-180,-137,-16.2602477047268
12.5,-180,-136,-15.7981156919276
12.5,-180,-135,-15.3802212080251
12.5,-180,-134,-15.0020123418272
12.5,-180,-133,-14.6604121904197
12.5,-180,-132,-14.3533175078255
12.5,-180,-131,-14.0792490926979
12.5,-180,-130,-13.8371115627961
12.5,-180,-129,-13.6260319533601
12.5,-180,-128,-13.4452544522898
12.5,-180,-127,-13.2940743464718
12.5,-180,-126,-13.1717986695181
12.5,-180,-125,-13.0777244593889
12.5,-180,-124,-13.01112814987
12.5,-180,-123,-12.9712615785498
12.5,-180,-122,-12.9573515239253
12.5,-180,-121,-12.9686007005357
12.5,-180,-120,-13.0041888430184
12.5,-180,-119,-13.063272979826
12.5,-180,-118,-13.144986299949
12.5,-180,-117,-13.2484352009594
12.5,-180,-116,-13.372694210973
12.5,-180,-115,-13.516798527937
12.5,-180,-114,-13.6797339371956
12.5,-180,-113,-13.8604238682203
12.5,-180,-112,-14.0577133468869
12.5,-180,-111,-14.2703496033176
