Theta [deg],dB(GainTotal) []
-180,-2.096754087
-179,-2.224314464
-178,-2.365384391
-177,-2.520059699
-176,-2.688433693
-175,-2.870596143
-174,-3.066632014
-173,-3.276619864
-172,-3.50062986
-171,-3.738721315
-170,-3.99093966
-169,-4.257312719
-168,-4.537846174
-167,-4.832518034
-166,-5.141271928
-165,-5.464009018
-164,-5.800578265
-163,-6.150764802
-162,-6.514276116
-161,-6.890725757
-160,-7.279614332
-159,-7.680307578
-158,-8.092011496
-157,-8.513744717
-156,-8.944308682
-155,-9.382256729
-154,-9.82586396
-153,-10.27310071
-152,-10.72161363
-151,-11.16871967
-150,-11.61141939
-149,-12.04643649
-148,-12.47029028
-147,-12.87940546
-146,-13.27025953
-145,-13.63956178
-144,-13.98445032
-143,-14.30268622
-142,-14.59281946
-141,-14.85430181
-140,-15.08752827
-139,-15.29380002
-138,-15.47521521
-137,-15.63450546
-136,-15.7748428
-135,-15.89964233
-134,-16.01238204
-133,-16.11645358
-132,-16.21505044
-131,-16.3110936
-130,-16.40719024
-129,-16.50561898
-128,-16.60833469
-127,-16.71698628
-126,-16.83294215
-125,-16.95731915
-124,-17.09101202
-123,-17.23472145
-122,-17.38897944
-121,-17.55417127
-120,-17.73055369
-119,-17.91826941
-118,-18.11735756
-117,-18.32776056
-116,-18.54932709
-115,-18.78181149
-114,-19.02486934
-113,-19.27804934
-112,-19.54078131
-111,-19.81236017
-110,-20.09192588
-109,-20.37843913
-108,-20.670653
-107,-20.96708058
-106,-21.26595936
-105,-21.56521317
-104,-21.86241338
-103,-22.15474182
-102,-22.43895893
-101,-22.71138174
-100,-22.96787774
-99,-23.20388158
-98,-23.41444219
-97,-23.59430763
-96,-23.73805298
-95,-23.84025328
-94,-23.8956973
-93,-23.89963151
-92,-23.84801517
-91,-23.73776164
-90,-23.56693798
-89,-23.33489686
-88,-23.04232244
-87,-22.69118352
-86,-22.2846007
-85,-21.82664583
-84,-21.32209979
-83,-20.77619642
-82,-20.19437789
-81,-19.58207989
-80,-18.94455811
-79,-18.2867596
-78,-17.61323735
-77,-16.92810269
-76,-16.23500824
-75,-15.53715387
-74,-14.83730866
-73,-14.137843
-72,-13.44076615
-71,-12.74776576
-70,-12.06024705
-69,-11.37936999
-68,-10.70608363
-67,-10.04115708
-66,-9.385206984
-65,-8.738721685
-64,-8.102082106
-63,-7.475579786
-62,-6.859432276
-61,-6.25379624
-60,-5.658778544
-59,-5.074445604
-58,-4.500831248
-57,-3.937943296
-56,-3.385769055
-55,-2.844279898
-54,-2.31343506
-53,-1.793184787
-52,-1.283472918
-51,-0.784239016
-50,-0.295420105
-49,0.183047926
-48,0.651229187
-47,1.109186878
-46,1.556982583
-45,1.994675712
-44,2.422323082
-43,2.839978611
-42,3.247693099
-41,3.645514091
-40,4.033485797
-39,4.411649072
-38,4.780041427
-37,5.138697086
-36,5.487647065
-35,5.826919271
-34,6.15653862
-33,6.476527175
-32,6.786904279
-31,7.087686713
-30,7.378888841
-29,7.660522772
-28,7.932598515
-27,8.195124132
-26,8.448105901
-25,8.691548457
-24,8.925454949
-23,9.149827183
-22,9.364665757
-21,9.569970199
-20,9.765739096
-19,9.951970215
-18,10.12866062
-17,10.29580679
-16,10.4534047
-15,10.60144996
-14,10.73993786
-13,10.86886348
-12,10.98822177
-11,11.09800761
-10,11.19821588
-9,11.28884153
-8,11.36987961
-7,11.44132531
-6,11.50317405
-5,11.55542146
-4,11.59806341
-3,11.63109608
-2,11.65451591
-1,11.66831966
0,11.67250439
1,11.66706745
2,11.6520065
3,11.62731947
4,11.59300456
5,11.5490602
6,11.49548503
7,11.43227789
8,11.35943772
9,11.27696358
10,11.18485457
11,11.08310979
12,10.97172827
13,10.85070892
14,10.72005045
15,10.57975132
16,10.42980965
17,10.27022316
18,10.10098906
19,9.922103973
20,9.733563876
21,9.535363963
22,9.32749857
23,9.109961072
24,8.88274378
25,8.645837831
26,8.399233082
27,8.142917997
28,7.876879537
29,7.601103041
30,7.315572114
31,7.020268511
32,6.715172026
33,6.400260374
34,6.07550909
35,5.740891422
36,5.396378234
37,5.041937925
38,4.67753635
39,4.303136762
40,3.918699778
41,3.524183357
42,3.119542821
43,2.704730907
44,2.279697859
45,1.844391583
46,1.398757865
47,0.942740661
48,0.47628249
49,-0.00067506
50,-0.488190694
51,-0.986322607
52,-1.495127481
53,-2.014659254
54,-2.54496761
55,-3.086096135
56,-3.638080077
57,-4.200943639
58,-4.774696713
59,-5.359330944
60,-5.954815017
61,-6.561089008
62,-7.178057647
63,-7.805582285
64,-8.443471367
65,-9.091469139
66,-9.749242348
67,-10.4163646
68,-11.09229812
69,-11.77637255
70,-12.46776054
71,-13.16544997
72,-13.86821261
73,-14.57456949
74,-15.28275328
75,-15.99066875
76,-16.69585281
77,-17.39543646
78,-18.08611226
79,-18.76411181
80,-19.42519931
81,-20.064688
82,-20.67748724
83,-21.25818734
84,-21.80118759
85,-22.30086929
86,-22.75180992
87,-23.14902728
88,-23.48823513
89,-23.76608493
90,-23.98036613
91,-24.13013875
92,-24.2157802
93,-24.23893945
94,-24.20240537
95,-24.10990772
96,-23.96587643
97,-23.7751876
98,-23.54292086
99,-23.27414708
100,-22.97375752
101,-22.6463381
102,-22.29608719
103,-21.92677141
104,-21.54171212
105,-21.14379508
106,-20.73549613
107,-20.31891696
108,-19.89582625
109,-19.46770255
110,-19.03577653
111,-18.60107081
112,-18.1644365
113,-17.72658576
114,-17.28812042
115,-16.84955644
116,-16.4113446
117,-15.97388761
118,-15.53755401
119,-15.10268915
120,-14.66962373
121,-14.2386801
122,-13.81017679
123,-13.38443155
124,-12.96176306
125,-12.54249179
126,-12.12694006
127,-11.71543154
128,-11.30829041
129,-10.90584031
130,-10.50840303
131,-10.11629738
132,-9.729837866
133,-9.349333627
134,-8.975087392
135,-8.607394603
136,-8.246542688
137,-7.892810474
138,-7.546467756
139,-7.207775
140,-6.876983169
141,-6.554333668
142,-6.240058386
143,-5.934379826
144,-5.637511306
145,-5.349657217
146,-5.071013335
147,-4.801767166
148,-4.542098322
149,-4.292178913
150,-4.052173956
151,-3.822241792
152,-3.602534497
153,-3.393198303
154,-3.194374006
155,-3.006197364
156,-2.828799498
157,-2.662307266
158,-2.506843635
159,-2.362528041
160,-2.229476725
161,-2.107803068
162,-1.997617907
163,-1.899029831
164,-1.812145477
165,-1.737069795
166,-1.673906317
167,-1.622757394
168,-1.58372443
169,-1.556908094
170,-1.542408518
171,-1.540325472
172,-1.550758519
173,-1.573807146
174,-1.609570868
175,-1.658149293
176,-1.719642154
177,-1.794149285
178,-1.881770548
179,-1.982605685
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
180,-2.096754087
