"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
12.5,-180,-34,6.15653862045462
12.5,-180,-33,6.47652717487455
12.5,-180,-32,6.78690427947064
12.5,-180,-31,7.08768671303011
12.5,-180,-30,7.37888884117695
12.5,-180,-29,7.66052277235495
12.5,-180,-28,7.93259851470919
12.5,-180,-27,8.19512413244908
12.5,-180,-26,8.4481059005083
12.5,-180,-25,8.69154845651405
12.5,-180,-24,8.92545494924544
12.5,-180,-23,9.14982718290326
12.5,-180,-22,9.36466575663423
12.5,-180,-21,9.56997019885556
12.5,-180,-20,9.76573909601319
12.5,-180,-19,9.95197021548149
12.5,-180,-18,10.1286606223753
12.5,-180,-17,10.2958067900986
12.5,-180,-16,10.4534047045008
12.5,-180,-15,10.6014499615486
12.5,-180,-14,10.7399378584552
12.5,-180,-13,10.868863478238
12.5,-180,-12,10.9882217676949
12.5,-180,-11,11.0980076088156
12.5,-180,-10,11.1982158836555
12.5,-180,-9,11.2888415327172
12.5,-180,-8,11.3698796068966
12.5,-180,-7,11.4413253130595
12.5,-180,-6,11.5031740533245
12.5,-180,-5,11.5554214581339
12.5,-180,-4,11.5980634132035
12.5,-180,-3,11.631096080442
12.5,-180,-2,11.6545159129412
12.5,-180,-1,11.6683196641366
12.5,-180,0,11.6725043912427
12.5,-180,1,11.6670674530697
12.5,-180,2,11.6520065023281
12.5,-180,3,11.6273194725296
12.5,-180,4,11.5930045595914
12.5,-180,5,11.5490601982515
12.5,-180,6,11.4954850334012
12.5,-180,7,11.4322778864381
12.5,-180,8,11.3594377167421
12.5,-180,9,11.2769635783737
12.5,-180,10,11.1848545720911
12.5,-180,11,11.0831097927794
12.5,-180,12,10.9717282723828
12.5,-180,13,10.8507089184278
12.5,-180,14,10.7200504482229
12.5,-180,15,10.5797513188204
12.5,-180,16,10.4298096528245
12.5,-180,17,10.2702231601321
12.5,-180,18,10.1009890556981
12.5,-180,19,9.9221039734211
12.5,-180,20,9.73356387625806
12.5,-180,21,9.5353639626897
12.5,-180,22,9.3274985696779
12.5,-180,23,9.1099610722825
12.5,-180,24,8.88274378013738
12.5,-180,25,8.64583783102707
12.5,-180,26,8.39923308185689
12.5,-180,27,8.14291799737254
12.5,-180,28,7.8768795370628
12.5,-180,29,7.60110304077216
12.5,-180,30,7.3155721136632
12.5,-180,31,7.02026851130367
12.5,-180,32,6.71517202581501
12.5,-180,33,6.40026037421179
12.5,-180,34,6.07550909029087
12.5,-180,35,5.74089142170194
12.5,-180,36,5.39637823415469
12.5,-180,37,5.04193792510185
12.5,-180,38,4.6775363496933
12.5,-180,39,4.30313676233648
12.5,-180,40,3.91869977783996
12.5,-180,41,3.52418335687782
12.5,-180,42,3.11954282141539
12.5,-180,43,2.70473090681005
12.5,-180,44,2.2796978585747
12.5,-180,45,1.84439158330561
12.5,-180,46,1.39875786507693
12.5,-180,47,0.942740660743946
12.5,-180,48,0.476282490142379
12.5,-180,49,-0.000675059802939536
12.5,-180,50,-0.488190694449784
12.5,-180,51,-0.986322607406645
12.5,-180,52,-1.49512748114002
12.5,-180,53,-2.01465925424791
12.5,-180,54,-2.54496761030496
12.5,-180,55,-3.08609613477303
12.5,-180,56,-3.63808007656266
12.5,-180,57,-4.20094363920626
12.5,-180,58,-4.77469671303013
12.5,-180,59,-5.35933094396535
12.5,-180,60,-5.95481501652196
12.5,-180,61,-6.56108900783677
12.5,-180,62,-7.17805764659464
12.5,-180,63,-7.80558228523037
12.5,-180,64,-8.44347136670981
12.5,-180,65,-9.09146913946411
12.5,-180,66,-9.74924234761668
12.5,-180,67,-10.4163646015662
12.5,-180,68,-11.0922981209927
12.5,-180,69,-11.7763725454347
12.5,-180,70,-12.4677605367583
12.5,-180,71,-13.1654499670333
12.5,-180,72,-13.8682126131567
12.5,-180,73,-14.574569489978
12.5,-180,74,-15.2827532757721
12.5,-180,75,-15.9906687503925
12.5,-180,76,-16.6958528095119
12.5,-180,77,-17.3954364615315
12.5,-180,78,-18.086112258072
12.5,-180,79,-18.7641118122905
12.5,-180,80,-19.4251993092453
12.5,-180,81,-20.0646879974052
12.5,-180,82,-20.6774872384205
12.5,-180,83,-21.2581873383851
12.5,-180,84,-21.8011875890102
12.5,-180,85,-22.300869293519
12.5,-180,86,-22.7518099152953
12.5,-180,87,-23.1490272817357
12.5,-180,88,-23.4882351253238
12.5,-180,89,-23.766084930414
12.5,-180,90,-23.980366127106
12.5,-180,91,-24.1301387517589
12.5,-180,92,-24.2157802019399
12.5,-180,93,-24.2389394458765
12.5,-180,94,-24.2024053745625
